amfi_code,sortino_ratio
148567,2.385644373368818
120843,2.364320032166718
148569,2.1469139263460555
119551,2.140267129061793
120505,2.0293529404657464
149323,1.875101063919208
118632,1.8501325468557264
100033,1.8291339615146942
120504,1.8052937940992548
101206,1.7995628746984524
119094,1.7037974802463003
119598,1.6753165700125516
148568,1.6327409778735162
149324,1.619793176491409
119552,1.609776489628308
102885,1.4357420130649492
120503,1.3379431500669237
125497,1.3306512447571366
118633,1.1544757169236237
118635,1.137976718780742
120506,1.0958951614736467
102887,1.0887552508030014
120507,1.0521238822609293
120841,0.8625738849916581
149322,0.7621288703723165
118634,0.7460146308533572
125498,0.508812819716923
101207,0.27664379626092334
119093,0.22108683979276347
120842,0.12469346986475664
119092,0.05257398559304797
119599,-0.09438726129459607
119095,-0.12818559275851932
120844,-0.1877230477424232
102886,-0.34722230254727277
100016,-0.35104746015230903
119120,-0.3767670081706672
118636,-0.6135251287271027
100025,-0.9418212366054207
101208,-1.6810378667512837
